final_rank,title,year,genres,popularity_rank,rating_rank,final_score
1982,The Hunger Games: Mockingjay – Part 2,,"Action, Adventure, Science Fiction",346,N/A,1936.75
1983,13 Going on 30,,"Comedy, Fantasy, Romance",348,N/A,1937.25
1984,Kind Hearts and Coronets,,"Comedy, Crime",N/A,1761,1937.50
1985,Train to Busan,,"Horror, Thriller, Action, Adventure",350,N/A,1937.75
1986,A Star Is Born,,"Music, Drama, Romance",351,N/A,1938.00
1987,The Big Short,,"Comedy, Drama",352,N/A,1938.25
1988,Slowdive: Souvlaki,,"Music, Documentary",N/A,1762,1938.25
1989,Beetlejuice,,"Fantasy, Comedy",353,N/A,1938.50
1990,Annihilation,,"Science Fiction, Horror",354,N/A,1938.75
1991,Now and Then - The Last Beatles Song,,"Documentary, Music",N/A,1763,1939.00
1992,The Imitation Game,,"History, Drama, Thriller, War",356,N/A,1939.25
1993,Venom,,"Science Fiction, Action",357,N/A,1939.50
1994,Easy A,,Comedy,358,N/A,1939.75
1995,Mad Max: Fury Road - Introduction to Black & Chrome Edition by George Miller,,Action,N/A,1764,1939.75
1996,The Amazing Spider-Man 2,,"Action, Adventure, Science Fiction",360,N/A,1940.25
1997,Wonder Woman,,"Action, Adventure, Fantasy",361,N/A,1940.50
1998,The White Meadows,,Drama,N/A,1765,1940.50
1999,Toy Story 4,,"Family, Adventure, Animation, Comedy, Fantasy",365,N/A,1941.50
2000,Porco Rosso,,"Family, Comedy, Animation, Adventure",851,2305,1941.50
2001,Free Guy,,"Comedy, Adventure, Science Fiction",366,N/A,1941.75
2002,Smile,,"Horror, Mystery, Thriller",367,N/A,1942.00
2003,The Marriage of Maria Braun,,Drama,N/A,1767,1942.00
2004,School of Rock,,"Comedy, Music",370,N/A,1942.75
2005,The Last Laugh,,Comedy,N/A,1768,1942.75
2006,My Name,,"Action, Crime, Adventure, Thriller",N/A,1769,1943.50
2007,Ant-Man and the Wasp,,"Action, Adventure, Science Fiction",373,N/A,1943.50
2008,The Lego Movie,,"Animation, Family, Adventure, Comedy, Fantasy",374,N/A,1943.75
2009,Top Gun,,"Action, Thriller",375,N/A,1944.00
2010,Palm Springs,,"Comedy, Romance, Science Fiction",376,N/A,1944.25
2011,Rowan Atkinson Live,,Comedy,N/A,1770,1944.25
2012,The Watermelon Woman,,"Drama, Comedy, Romance",2325,1818,1944.75
2013,John Wick: Chapter 2,,"Action, Thriller, Crime",378,N/A,1944.75
2014,His and Her Circumstances,,,N/A,1771,1945.00
2015,Ready Player One,,"Adventure, Action, Science Fiction",379,N/A,1945.00
2016,Silver Linings Playbook,,"Drama, Comedy, Romance",381,N/A,1945.50
2017,The Fly,,"Horror, Science Fiction",693,2363,1945.50
2018,Videograms of a Revolution,,Documentary,N/A,1772,1945.75
2019,Birds of Prey,and the Fantabulous Emancipation of One Harley Quinn,"Action, Crime",383,N/A,1946.00
2020,It Chapter Two,,Horror,384,N/A,1946.25
2021,The Fall Guy,,"Action, Comedy",386,N/A,1946.75
2022,Elemental,,"Animation, Comedy, Family, Fantasy, Romance",387,N/A,1947.00
2023,Brush Up Life,,,N/A,1774,1947.25
2024,Thor: The Dark World,,"Action, Adventure, Fantasy",388,N/A,1947.25
2025,Longlegs,,"Crime, Horror, Thriller",389,N/A,1947.50
2026,Midnight in Paris,,"Fantasy, Comedy, Romance",390,N/A,1947.75
2027,Zombieland,,"Comedy, Horror",391,N/A,1948.00
2028,Notting Hill,,"Romance, Comedy",392,N/A,1948.25
2029,The Zen Diaries of Garry Shandling,,,N/A,1776,1948.75
2030,A Quiet Place Part II,,"Science Fiction, Thriller, Horror",395,N/A,1949.00
2031,mid90s,,"Drama, Comedy",396,N/A,1949.25
2032,The Twilight Zone: A 60th Anniversary Celebration,,"Documentary, Drama, Thriller, Mystery, Science Fiction",N/A,1777,1949.50
2033,Ready or Not,,"Comedy, Horror, Thriller",398,N/A,1949.75
2034,Ford v Ferrari,,"Drama, Action, History",400,N/A,1950.25
2035,How to Lose a Guy in 10 Days,,"Comedy, Romance",401,N/A,1950.50
2036,Green Book,,"Drama, History",402,N/A,1950.75
2037,Woman,,Documentary,N/A,1779,1951.00
2038,Ant-Man and the Wasp: Quantumania,,"Action, Adventure, Science Fiction",404,N/A,1951.25
2039,Beau Is Afraid,,"Comedy, Adventure, Fantasy",405,N/A,1951.50
2040,Laapataa Ladies,,"Comedy, Drama",N/A,1780,1951.75
2041,Saw,,"Horror, Mystery, Crime",407,N/A,1952.00
2042,Scream VI,,"Horror, Crime, Thriller",408,N/A,1952.25
2043,Doctor Who: Remembrance of the Daleks,,"Science Fiction, Drama, Adventure",N/A,1781,1952.50
2044,Love Actually,,"Comedy, Romance, Drama",409,N/A,1952.50
2045,John Wick: Chapter 3 – Parabellum,,"Action, Thriller, Crime",410,N/A,1952.75
2046,Leave the World Behind,,"Drama, Mystery, Thriller",411,N/A,1953.00
2047,The Dawn Wall,,"Documentary, Adventure",N/A,1782,1953.25
2048,Pitch Perfect,,"Comedy, Music, Romance",414,N/A,1953.75
2049,The Texas Chain Saw Massacre,,Horror,415,N/A,1954.00
2050,The Kingdom,,"Science Fiction, Adventure, Action",N/A,1783,1954.00
2051,21 Jump Street,,"Action, Comedy, Crime",416,N/A,1954.25
2052,Shiva Baby,,"Comedy, Drama",417,N/A,1954.50
2053,Pretty Woman,,"Comedy, Romance",418,N/A,1954.75
2054,Mrs. America,,,N/A,1784,1954.75
2055,Survive and Advance,,Documentary,N/A,1785,1955.50
2056,Snowpiercer,,"Action, Science Fiction, Drama",421,N/A,1955.50
2057,V for Vendetta,,"Action, Thriller, Science Fiction",422,N/A,1955.75
2058,Sicario,,"Action, Crime, Thriller",430,2465,1956.25
2059,The Hill,,"History, Drama",N/A,1786,1956.25
2060,M3GAN,,"Science Fiction, Horror",425,N/A,1956.50
2061,Crashing,,"Romance, Comedy, Drama",N/A,1787,1957.00
2062,The Green Knight,,"Adventure, Drama, Fantasy",428,N/A,1957.25
2063,The Curious Case of Benjamin Button,,"Drama, Fantasy, Romance",429,N/A,1957.50
2064,Mouchette,,Drama,N/A,1788,1957.75
2065,It Follows,,"Horror, Mystery",432,N/A,1958.25
2066,The Edge of Seventeen,,"Comedy, Drama",433,N/A,1958.50
2067,Bird Box,,"Horror, Thriller, Drama",434,N/A,1958.75
2068,No Time to Die,,"Action, Adventure, Thriller",437,N/A,1959.50
2069,Marie Antoinette,,"Drama, History",438,N/A,1959.75
2070,Gravity,,"Science Fiction, Thriller, Drama",439,N/A,1960.00
2071,The Singing Detective,,"Comedy, Music, Mystery, Crime",N/A,1791,1960.00
2072,Nomadland,,Drama,440,N/A,1960.25
2073,Evil Dead Rise,,"Horror, Thriller",441,N/A,1960.50
2074,Disney's FastPass: A Complicated History,,,N/A,1792,1960.75
2075,Boyhood,,Drama,442,N/A,1960.75
2076,Fantastic Beasts and Where to Find Them,,"Fantasy, Adventure",443,N/A,1961.00
2077,Mission: Impossible – Dead Reckoning Part One,,"Action, Thriller",444,N/A,1961.25
2078,Brave,,"Animation, Adventure, Comedy, Family, Action, Fantasy",446,N/A,1961.75
2079,Dungeons & Dragons: Honor Among Thieves,,"Adventure, Fantasy, Comedy",448,N/A,1962.25
2080,M3LL155X,,"Music, Drama",N/A,1794,1962.25
2081,Wreck-It Ralph,,"Family, Animation, Comedy, Adventure",450,N/A,1962.75
2082,Lakai - Fully Flared,,Documentary,N/A,1795,1963.00
2083,Jurassic World,,"Action, Adventure, Science Fiction, Thriller",451,N/A,1963.00
2084,Rise of the Planet of the Apes,,"Thriller, Action, Drama, Science Fiction",452,N/A,1963.25
2085,The Eight Mountains,,Drama,N/A,1796,1963.75
2086,The Greatest Showman,,Drama,455,N/A,1964.00
2087,Haikyuu!! Movie 2: Winners and Losers,,Animation,N/A,1797,1964.50
2088,I'm Thinking of Ending Things,,"Drama, Fantasy, Mystery, Thriller",457,N/A,1964.50
2089,The French Connection,,"Action, Crime, Thriller",1492,2122,1964.50
2090,Monkey Man,,"Action, Thriller",458,N/A,1964.75
2091,Love Lies Bleeding,,"Crime, Romance, Thriller",460,N/A,1965.25
2092,Depeche Mode 101,,"Documentary, Music",N/A,1798,1965.25
2093,Skyfall,,"Action, Adventure, Thriller",461,N/A,1965.50
2094,Grease,,"Romance, Comedy",462,N/A,1965.75
2095,Beastie Boys: Video Anthology,,"Documentary, Music",N/A,1799,1966.00
2096,Suspiria,,Horror,463,N/A,1966.00
2097,The Terminator,,"Action, Thriller, Science Fiction",464,N/A,1966.25
2098,Ocean's Eight,,"Crime, Comedy, Action",465,N/A,1966.50
2099,American Fiction,,"Comedy, Drama",466,N/A,1966.75
2100,Interrogation,,Action,N/A,1801,1967.50
2101,The Princess Diaries,,"Comedy, Family, Romance",469,N/A,1967.50
2102,Crazy Rich Asians,,"Comedy, Romance",470,N/A,1967.75
2103,Mean Girls,,"Drama, Comedy",471,N/A,1968.00
2104,Squid Game,,Documentary,472,N/A,1968.25
2105,Pirates of the Caribbean: Dead Man's Chest,,"Adventure, Fantasy, Action",475,N/A,1969.00
2106,The Beasts,,"Science Fiction, Adventure, Action",N/A,1803,1969.00
2107,The Cabin in the Woods,,"Horror, Mystery, Thriller",476,N/A,1969.25
2108,Back to the Future Part II,,"Adventure, Comedy, Science Fiction",477,N/A,1969.50
2109,Groundhog Day,,"Romance, Fantasy, Drama, Comedy",478,N/A,1969.75
2110,The 4th Annual Live 'On Cinema' Oscar Special,,,N/A,1804,1969.75
2111,Gleason,,Documentary,N/A,1805,1970.50
2112,Finding Dory,,"Adventure, Animation, Comedy, Family",484,N/A,1971.25
2113,The Blair Witch Project,,"Horror, Mystery",485,N/A,1971.50
2114,Now You See Me,,"Thriller, Crime",486,N/A,1971.75
2115,Marvel Studios Assembled: The Making of X-Men '97,,Documentary,N/A,1807,1972.00
2116,Room,,"Drama, Thriller",424,2488,1972.00
2117,Mr. & Mrs. Smith,,"Action, Drama, Thriller",488,N/A,1972.25
2118,The Idea of You,,"Romance, Drama",489,N/A,1972.50
2119,Ashes and Diamonds,,"Drama, War, Romance",N/A,1808,1972.75
2120,Life of Pi,,"Adventure, Drama",490,N/A,1972.75
2121,Fresh,,"Horror, Thriller",491,N/A,1973.00
2122,The Maze Runner,,"Action, Mystery, Science Fiction, Thriller",492,N/A,1973.25
2123,Grey Gardens,,Documentary,N/A,1809,1973.50
2124,Heathers,,"Comedy, Crime",494,N/A,1973.75
2125,Hacksaw Ridge,,"Drama, History, War",495,N/A,1974.00
2126,Visaranai,,"Drama, Thriller",N/A,1810,1974.25
2127,The Power of the Dog,,"Drama, Western",498,N/A,1974.75
2128,A Nightmare on Elm Street,,Horror,499,N/A,1975.00
2129,Laura,,"Drama, Mystery",N/A,1811,1975.00
2130,Elf,,"Comedy, Family, Fantasy",500,N/A,1975.25
2131,The House in the Woods,,Horror,N/A,1812,1975.75
2132,The Invisible Man,,"Thriller, Science Fiction, Horror",502,N/A,1975.75
2133,Despicable Me,,"Animation, Family, Comedy, Action",503,N/A,1976.00
2134,Departures,,Drama,N/A,1813,1976.50
2135,Monsters University,,"Animation, Family",505,N/A,1976.50
2136,X-Men: Days of Future Past,,"Action, Adventure, Science Fiction",506,N/A,1976.75
2137,The Hobbit: An Unexpected Journey,,"Adventure, Fantasy, Action",508,N/A,1977.25
2138,The Guns,,"War, Adventure, Thriller, Action",N/A,1814,1977.25
2139,Planet of the Apes,,"Science Fiction, Adventure, Action",1477,2144,1977.25
2140,Dawn of the Planet of the Apes,,"Science Fiction, Action, Drama, Thriller",509,N/A,1977.50
2141,Megamind,,"Animation, Action, Comedy, Family, Science Fiction",511,N/A,1978.00
2142,City of Pirates,,"Drama, Fantasy",N/A,1815,1978.00
2143,Cocaine Bear,,"Thriller, Comedy, Crime",512,N/A,1978.25
2144,Nocturnal Animals,,"Drama, Thriller",514,N/A,1978.75
2145,Men in Black,,"Action, Adventure, Comedy, Science Fiction",515,N/A,1979.00
2146,The Parent Trap,,"Comedy, Family, Romance",516,N/A,1979.25
2147,Batman v Superman: Dawn of Justice,,"Action, Adventure, Fantasy",517,N/A,1979.50
2148,Hometown Cha-Cha-Cha,,,N/A,1817,1979.50
2149,Sorry to Bother You,,"Fantasy, Science Fiction, Comedy",518,N/A,1979.75
2150,The Emperor's New Groove,,"Adventure, Animation, Comedy, Family, Fantasy",520,N/A,1980.25
2151,Atonement,,"Drama, Romance",541,2460,1980.25
2152,Solo: A Star Wars Story,,"Science Fiction, Adventure, Action",521,N/A,1980.50
2153,Kizumonogatari Part 2: Nekketsu,,"Animation, Fantasy, Mystery",N/A,1819,1981.00
2154,Dazed and Confused,,"Comedy, Drama",525,N/A,1981.50
2155,"Duck! Rabbit, Duck!",,"Animation, Comedy",N/A,1820,1981.75
2156,Late Night with the Devil,,Horror,527,N/A,1982.00
2157,The Girl with the Dragon Tattoo,,"Thriller, Crime, Mystery",528,N/A,1982.25
2158,WandaVision,,,529,N/A,1982.50
2159,BTS : Live Trilogy Episode III - The Wings Tour,,"Music, Documentary",N/A,1821,1982.50
2160,Spencer,,"Drama, History",530,N/A,1982.75
2161,The Lego Batman Movie,,"Animation, Action, Comedy, Family",531,N/A,1983.00
2162,Balkan Spy,,"Drama, Comedy",N/A,1822,1983.25
2163,Jumanji: Welcome to the Jungle,,"Adventure, Comedy, Fantasy",532,N/A,1983.25
2164,aespa: WORLD TOUR in cinemas,,"Music, Documentary",N/A,1823,1984.00
2165,Eraserhead,,Horror,535,N/A,1984.00
2166,Ice Age,,"Animation, Comedy, Family, Adventure",537,N/A,1984.50
2167,The Trial,,"Thriller, Drama",N/A,1824,1984.75
2168,Enemy,,"Thriller, Mystery",540,N/A,1985.25
2169,Varda by Agnès,,Documentary,N/A,1825,1985.50
2170,The Darjeeling Limited,,"Adventure, Drama, Comedy",542,N/A,1985.75
2171,Camp de Thiaroye,,"War, Drama",N/A,1826,1986.25
2172,Aquaman,,"Action, Adventure, Fantasy",544,N/A,1986.25
2173,Eighth Grade,,"Comedy, Drama",546,N/A,1986.75
2174,Teenage Mutant Ninja Turtles: Mutant Mayhem,,"Animation, Comedy, Action, Science Fiction",547,N/A,1987.00
2175,The Death of Mr. Lazarescu,,"Drama, Comedy",N/A,1827,1987.00
2176,Nobody,,"Action, Thriller",548,N/A,1987.25
2177,Raw,,,549,N/A,1987.50
2178,Kisapmata,,"Crime, Drama, Thriller",N/A,1828,1987.75
2179,Indiana Jones and the Temple of Doom,,"Adventure, Action",551,N/A,1988.00
2180,Shazam!,,"Action, Comedy, Fantasy",552,N/A,1988.25
2181,Titane,,"Drama, Thriller, Horror",553,N/A,1988.50
2182,The Corner,,,N/A,1829,1988.50
2183,Home Alone 2: Lost in New York,,"Comedy, Family, Adventure",554,N/A,1988.75
2184,Madagascar,,"Family, Animation, Adventure, Comedy",555,N/A,1989.00
2185,The Gospel According to St. Matthew,,"Comedy, Family, Music",N/A,1830,1989.25
2186,Venom: Let There Be Carnage,,"Science Fiction, Action, Adventure",556,N/A,1989.25
2187,Paddington,,"Comedy, Adventure, Family",558,N/A,1989.75
2188,How the Grinch Stole Christmas,,"Family, Comedy, Fantasy",559,N/A,1990.00
2189,Mon Oncle,,Comedy,N/A,1831,1990.00
2190,Rocketman,,"Music, Drama",560,N/A,1990.25
2191,A Bronx Tale,,"Drama, Crime",1775,2062,1990.25
2192,Moneyball,,Drama,561,N/A,1990.50
2193,The Babadook,,"Drama, Horror",562,N/A,1990.75
2194,Equinox Flower,,Drama,N/A,1832,1990.75
2195,Kick-Ass,,"Action, Crime",563,N/A,1991.00
2196,Mission: Impossible – Fallout,,"Action, Adventure",564,N/A,1991.25
2197,Cuba and the Cameraman,,Documentary,N/A,1833,1991.50
2198,Edge of Tomorrow,,"Action, Science Fiction",565,N/A,1991.50
2199,Indiana Jones and the Dial of Destiny,,"Adventure, Action",567,N/A,1992.00
2200,ONI: Thunder God's Tale,,,N/A,1834,1992.25
2201,Old,,"Thriller, Mystery, Horror",569,N/A,1992.50
2202,Matilda,,"Comedy, Family, Fantasy",570,N/A,1992.75
2203,Ricky Jay and His 52 Assistants,,"Documentary, Comedy",N/A,1835,1993.00
2204,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,Comedy,571,N/A,1993.00
2205,Air,,Drama,572,N/A,1993.25
2206,War for the Planet of the Apes,,"Drama, Science Fiction, War",573,N/A,1993.50
2207,Calls,,Drama,N/A,1836,1993.75
2208,The Pursuit of Happyness,,Drama,574,N/A,1993.75
2209,Emma.,,"Documentary, Drama",575,N/A,1994.00
2210,The Secret Life of Walter Mitty,,"Adventure, Comedy, Drama, Fantasy",576,N/A,1994.25
2211,Man of Steel,,"Action, Adventure, Science Fiction",577,N/A,1994.50
2212,Barber's Tales,,Drama,N/A,1837,1994.50
2213,Hit Man,,"Crime, Comedy, Romance",579,N/A,1995.00
2214,Kuroneko,,"Horror, Fantasy",N/A,1838,1995.25
2215,Dream Scenario,,"Comedy, Fantasy",580,N/A,1995.25
2216,X-Men: First Class,,"Action, Science Fiction, Adventure",581,N/A,1995.50
2217,Night at the Museum,,"Action, Adventure, Comedy, Family, Fantasy",582,N/A,1995.75
2218,Ouran High School Host Club,,Comedy,N/A,1839,1996.00
2219,The Wonderful Story of Henry Sugar,,"Comedy, Fantasy, Adventure",583,N/A,1996.00
2220,The Evil Dead,,Horror,584,N/A,1996.25
2221,Nightless Night,,Drama,N/A,1840,1996.75
2222,The Talented Mr. Ripley,,"Thriller, Crime, Drama",586,N/A,1996.75
2223,The Princess and the Frog,,"Animation, Romance, Fantasy, Family",587,N/A,1997.00
2224,The Mitchells vs. The Machines,,"Animation, Adventure, Comedy",589,N/A,1997.50
2225,The Flash,,"Action, Adventure, Science Fiction",590,N/A,1997.75
2226,The Twilight Saga: New Moon,,"Adventure, Fantasy, Drama, Romance",592,N/A,1998.25
2227,Jackie Brown,,"Crime, Drama, Thriller",594,N/A,1998.75
2228,28 Days Later,,"Horror, Thriller, Science Fiction",596,N/A,1999.25
2229,Hercules,,"Animation, Family, Fantasy, Adventure, Comedy, Romance",597,N/A,1999.50
2230,Batman: Mask of the Phantasm,,"Action, Animation, Crime, Mystery, Drama",2062,1979,1999.75
2231,George Carlin: You Are All Diseased,,"Comedy, Documentary, TV Movie",N/A,1844,1999.75
2232,MaXXXine,,"Horror, Crime, Mystery",598,N/A,1999.75
2233,A Quiet Place: Day One,,"Horror, Science Fiction, Thriller",600,N/A,2000.25
2234,Doctor Who: The War Games,,"Science Fiction, Drama, Adventure",N/A,1845,2000.50
2235,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,"Adventure, Family, Fantasy",601,N/A,2000.50
2236,Dirty Dancing,,"Drama, Music, Romance",602,N/A,2000.75
2237,Into the Wild,,"Adventure, Drama",603,N/A,2001.00
2238,Islands of Fire,,Documentary,N/A,1846,2001.25
2239,The Wizard of Oz,,"Adventure, Fantasy, Family",605,N/A,2001.50
2240,A Hidden Life,,"Drama, War, History",2232,1925,2001.75
2241,Pirates of the Caribbean: At World's End,,"Adventure, Fantasy, Action",607,N/A,2002.00
2242,Ted,,"Comedy, Fantasy",608,N/A,2002.25
2243,Zoolander,,Comedy,609,N/A,2002.50
2244,Frozen II,,"Family, Animation, Adventure, Comedy, Fantasy",610,N/A,2002.75
2245,Daria in 'Is It College Yet?',,"Animation, Comedy, TV Movie",N/A,1848,2002.75
2246,World War Z,,"Action, Drama, Horror, Science Fiction, Thriller",612,N/A,2003.25
2247,Jão: SuperTurnê ao Vivo,,"Music, Documentary",N/A,1849,2003.50
2248,Climax,,"Horror, Drama",614,N/A,2003.75
2249,House of Gucci,,"History, Drama, Crime",615,N/A,2004.00
2250,To All the Boys I've Loved Before,,"Comedy, Romance",616,N/A,2004.25
2251,"Cole Escola's ""Our Home Out West""",,"Comedy, Western, Romance",N/A,1850,2004.25
2252,The Platform,,"Thriller, Horror",617,N/A,2004.50
2253,Romeo + Juliet,,"Drama, Romance",620,N/A,2005.25
2254,Decision to Leave,,"Thriller, Mystery, Romance",621,N/A,2005.50
2255,Cast Away,,"Adventure, Drama",624,N/A,2006.25
2256,Lovers Rock,,,N/A,1853,2006.50
2257,10 Cloverfield Lane,,"Thriller, Science Fiction, Drama, Horror",625,N/A,2006.50
2258,The Raid 2,,"Action, Crime, Thriller",2366,1887,2006.75
2259,Dallas Buyers Club,,"Drama, History",626,N/A,2006.75
2260,"Red, White & Royal Blue",,"Comedy, Romance",627,N/A,2007.00
2261,Rango,,"Animation, Comedy, Family, Western, Adventure",628,N/A,2007.25
2262,Slumdog Millionaire,,"Drama, Romance",629,N/A,2007.50
2263,Scream 2,,"Horror, Mystery",630,N/A,2007.75
2264,Don't Hug Me I'm Scared,,"Animation, Comedy, Horror, Music",N/A,1855,2008.00
2265,The Hobbit: The Desolation of Smaug,,"Fantasy, Adventure, Action",631,N/A,2008.00
2266,Warrior,,"Drama, Action",1616,2139,2008.25
2267,I Saw the TV Glow,,"Drama, Horror",632,N/A,2008.25
2268,Infinity Pool,,"Horror, Science Fiction",633,N/A,2008.50
2269,Crimes and Misdemeanors,,"Comedy, Drama",N/A,1856,2008.75
2270,Okja,,"Adventure, Drama, Science Fiction",634,N/A,2008.75
2271,Malignant,,Horror,635,N/A,2009.00
2272,Rushmore,,"Comedy, Drama",636,N/A,2009.25
2273,State of Siege,,"Action, Drama",N/A,1857,2009.50
2274,Mission: Impossible,,"Adventure, Action, Thriller",637,N/A,2009.50
2275,Blue Valentine,,"Drama, Romance",639,N/A,2010.00
2276,The Unbearable Weight of Massive Talent,,"Action, Comedy, Crime",640,N/A,2010.25
2277,The Last Days,,"Action, Adventure, Fantasy, Thriller",N/A,1858,2010.25
2278,Deadpool & Wolverine,,"Science Fiction, Action, Comedy",641,N/A,2010.50
2279,The Theory of Everything,,"Drama, Romance",642,N/A,2010.75
2280,The Holiday,,"Comedy, Romance",643,N/A,2011.00
2281,The Angel,,"Action, Drama, History, Thriller, War",N/A,1859,2011.00
2282,The Proposal,,"Comedy, Romance, Drama",645,N/A,2011.50
2283,The Life Aquatic with Steve Zissou,,"Adventure, Comedy, Drama",646,N/A,2011.75
2284,Gimme Shelter,,"Documentary, Music",N/A,1860,2011.75
2285,Les Misérables,,"Drama, History",793,2418,2011.75
2286,"São Paulo, Incorporated",,Drama,N/A,1861,2012.50
2287,Zack Snyder's Justice League,,"Action, Adventure, Fantasy",650,N/A,2012.75
2288,Do Revenge,,"Comedy, Thriller, Romance",651,N/A,2013.00
2289,Given,,Documentary,N/A,1862,2013.25
2290,Godzilla vs. Kong,,"Action, Science Fiction, Adventure",652,N/A,2013.25
2291,Prey,,"Thriller, Action, Science Fiction",654,N/A,2013.75
2292,Maestro,,"Drama, Romance, Music",655,N/A,2014.00
2293,Uncharted,,"Action, Adventure",656,N/A,2014.25
2294,Big Fish,,"Adventure, Fantasy, Drama",657,N/A,2014.50
2295,In Vanda's Room,,Drama,N/A,1864,2014.75
2296,Napoleon Dynamite,,Comedy,658,N/A,2014.75
2297,A Ghost Story,,"Drama, Fantasy",659,N/A,2015.00
2298,Million Dollar Baby,,Drama,969,2364,2015.25
2299,CODA,,"Drama, Music, Romance",660,N/A,2015.25
2300,Tekkonkinkreet,,"Action, Adventure, Animation",N/A,1865,2015.50
2301,Loki,,,661,N/A,2015.50
2302,Minions: The Rise of Gru,,"Animation, Comedy, Family, Adventure",662,N/A,2015.75
2303,White Chicks,,"Comedy, Crime",663,N/A,2016.00
2304,Creed,,"Action, Drama",664,N/A,2016.25
2305,Bye Bye Tiberias,,Documentary,N/A,1866,2016.25
2306,El Camino: A Breaking Bad Movie,,"Crime, Drama, Thriller",665,N/A,2016.50
2307,The Night of Counting the Years,,"Drama, History",N/A,1867,2017.00
2308,A Bug's Life,,"Family, Animation, Adventure, Comedy",667,N/A,2017.00
2309,Enola Holmes,,"Adventure, Mystery, Crime",668,N/A,2017.25
2310,Breakfast at Tiffany's,,"Comedy, Romance, Drama",670,N/A,2017.75
2311,Mamma Mia! Here We Go Again,,"Comedy, Romance",671,N/A,2018.00
2312,Boiling Point,,"Drama, Thriller",1877,2065,2018.00
2313,The Creator,,"Action, Adventure, Science Fiction",672,N/A,2018.25
2314,The Velvet Queen,,Documentary,N/A,1869,2018.50
2315,Under the Skin,,"Thriller, Science Fiction, Drama",673,N/A,2018.50
2316,The Polar Express,,"Animation, Adventure, Family, Fantasy",675,N/A,2019.00
2317,A Streetcar Named Desire,,"Drama, Thriller",1704,2124,2019.00
2318,Fauve,,Drama,N/A,1870,2019.25
2319,The Gentlemen,,"Action, Crime, Comedy",676,N/A,2019.25
2320,Onward,,"Family, Animation, Adventure, Comedy, Fantasy",677,N/A,2019.50
2321,The Game,,"Drama, Thriller, Mystery",678,N/A,2019.75
2322,The Incredible Hulk,,"Science Fiction, Action, Adventure",680,N/A,2020.25
2323,We Need to Talk About Kevin,,"Drama, Thriller",681,N/A,2020.50
2324,A Beautiful Mind,,"Drama, Romance",682,N/A,2020.75
2325,Greed,,"Comedy, Drama",N/A,1872,2020.75
2326,The Matrix Reloaded,,"Adventure, Action, Thriller, Science Fiction",683,N/A,2021.00
2327,Nightmare Alley,,"Crime, Drama, Thriller",684,N/A,2021.25
2328,A Trip to the Moon,,"Adventure, Science Fiction",1137,2316,2021.25
2329,Insecure: The End,,Documentary,N/A,1873,2021.50
2330,I Am Legend,,"Drama, Science Fiction, Thriller",687,N/A,2022.00
2331,Me Before You,,"Drama, Romance",688,N/A,2022.25
2332,Puella Magi Madoka Magica the Movie Part II: Eternal,,"Thriller, Animation, Fantasy",N/A,1874,2022.25
2333,The Hobbit: The Battle of the Five Armies,,"Action, Adventure, Fantasy",689,N/A,2022.50
2334,Moulin Rouge!,,"Drama, Romance, Music",690,N/A,2022.75
2335,The Red Sleeve,,,N/A,1875,2023.00
2336,Back to the Future Part III,,"Adventure, Comedy, Science Fiction",692,N/A,2023.25
2337,Heartworn Highways,,"Documentary, Music",N/A,1876,2023.75
2338,Knock at the Cabin,,"Thriller, Mystery, Horror",694,N/A,2023.75
2339,Jumanji,,"Adventure, Fantasy, Family",695,N/A,2024.00
2340,Swiss Army Man,,"Comedy, Drama, Romance, Fantasy, Adventure",696,N/A,2024.25
2341,Kingsman: The Golden Circle,,"Action, Adventure, Comedy",699,N/A,2025.00
2342,In the Heat of the Night,,"Crime, Drama, Mystery, Thriller",N/A,1878,2025.25
2343,The Matrix Resurrections,,"Science Fiction, Action, Adventure",701,N/A,2025.50
2344,X-Men,,"Action, Adventure, Science Fiction, Fantasy",702,N/A,2025.75
2345,Big Time,,"Documentary, Music",N/A,1879,2026.00
2346,Wonder Woman 1984,,"Action, Adventure, Fantasy",703,N/A,2026.00
2347,Kingdom of the Planet of the Apes,,"Science Fiction, Adventure, Action",705,N/A,2026.50
2348,Hidden Figures,,"Drama, History",706,N/A,2026.75
2349,Waltz with Bashir,,"Drama, Animation, War, Documentary",N/A,1880,2026.75
2350,Freaky Friday,,"Comedy, Family, Fantasy",707,N/A,2027.00
2351,Immaculate,,"Horror, Mystery, Thriller",708,N/A,2027.25
2352,Summer Heights High,,,N/A,1881,2027.50
2353,Game Night,,"Mystery, Comedy, Crime",710,N/A,2027.75
2354,"Love, Simon",,"Comedy, Drama, Romance",711,N/A,2028.00
2355,Throat Notes,,Animation,N/A,1882,2028.25
2356,Batman,,"Fantasy, Action, Crime",712,N/A,2028.25
2357,Ad Astra,,"Science Fiction, Drama",713,N/A,2028.50
2358,The Conjuring 2,,Horror,714,N/A,2028.75
2359,Mr. Queen,,,N/A,1883,2029.00
2360,How to Train Your Dragon 2,,"Fantasy, Action, Adventure, Animation, Comedy, Family",717,N/A,2029.50
2361,Dogtooth,,Drama,718,N/A,2029.75
